Vehicle ID,Department,Make,Model,Year,Age,Odometer,Monthly Cost,Replacement Score,Priority,Recommended Action
CVA-001,Education,Toyota,Highlander,2016,10,225362,1058,90,High,Replace Immediately
CVA-002,Education,Nissan,Frontier,2013,13,250397,1088,100,High,Replace Immediately
CVA-003,Environment,Toyota,Highlander,2023,3,102489,357,25,Low,Monitor
CVA-004,Transportation,Toyota,Tundra,2017,9,190912,590,65,Medium,Plan for replacement
CVA-005,Justice,Toyota,Highlander,2024,2,66104,498,23,Low,Monitor
CVA-006,Transportation,Ford,Escape,2017,9,209582,702,72,High,Replace in 6-12 months
CVA-007,Health,Toyota,Highlander,2017,9,192224,743,72,High,Replace in 6-12 months
CVA-008,Health,Chevrolet,Traverse,2012,14,269038,1322,100,High,Replace Immediately
CVA-009,Health,Dodge,Durango,2022,4,119393,467,35,Low,Monitor
CVA-010,Health,Chevrolet,Equinox,2012,14,287975,1424,100,High,Replace Immediately
CVA-011,Environment,Nissan,Pathfinder,2017,9,208150,1002,85,High,Replace Immediately
CVA-012,Transportation,Ford,Explorer,2016,10,214426,1025,89,High,Replace Immediately
CVA-013,Education,Honda,Pilot,2014,12,241421,892,94,High,Replace Immediately
CVA-014,Justice,Chevrolet,Malibu,2024,2,56958,443,20,Low,Monitor
CVA-015,Transportation,Dodge,Ram 1500,2021,5,118657,468,38,Low,Monitor
CVA-016,Justice,Ford,Edge,2016,10,213362,882,84,High,Replace Immediately
CVA-017,Education,Honda,Odyssey,2021,5,131574,380,36,Low,Monitor
CVA-018,Transportation,Toyota,Camry,2019,7,176461,602,57,Medium,Plan for replacement
CVA-019,Education,Toyota,Highlander,2019,7,173630,660,60,Medium,Plan for replacement
CVA-020,Environment,Honda,Pilot,2024,2,52648,425,18,Low,Monitor
CVA-021,Environment,Honda,Civic,2017,9,210065,882,80,High,Replace Immediately
CVA-022,Environment,Honda,Civic,2018,8,196562,677,66,Medium,Plan for replacement
CVA-023,Education,Dodge,Charger,2022,4,100298,362,28,Low,Monitor
CVA-024,Transportation,Dodge,Grand Caravan,2018,8,181472,524,58,Medium,Plan for replacement
CVA-025,Environment,Honda,Pilot,2012,14,280032,1325,100,High,Replace Immediately
CVA-026,Transportation,Dodge,Durango,2021,5,135913,403,37,Low,Monitor
